"id","ts","temp_c","led_on","raw_adc","v_volts","rt_kohm","device_id","source"
"1655","2025-11-14 11:05:07.785575-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1654","2025-11-14 11:04:57.775283-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1653","2025-11-14 11:04:47.764664-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1652","2025-11-14 11:04:37.7542-03","22.930",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1651","2025-11-14 11:04:27.744244-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1650","2025-11-14 11:04:17.732448-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1649","2025-11-14 11:04:07.722366-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1648","2025-11-14 11:03:57.711873-03","22.460",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1647","2025-11-14 11:03:47.701213-03","22.680",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1646","2025-11-14 11:03:37.690326-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1645","2025-11-14 11:03:27.67122-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1644","2025-11-14 11:03:17.668559-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1643","2025-11-14 11:03:07.659145-03","23.240",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1642","2025-11-14 11:02:57.648462-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1641","2025-11-14 11:02:47.638017-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1640","2025-11-14 11:02:37.627477-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1639","2025-11-14 11:02:27.617251-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1638","2025-11-14 11:02:17.60572-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1637","2025-11-14 11:02:07.595479-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1636","2025-11-14 11:01:57.584402-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1635","2025-11-14 11:01:47.574707-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1634","2025-11-14 11:01:37.563838-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1633","2025-11-14 11:01:27.553045-03","23.190",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1632","2025-11-14 11:01:17.542314-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1631","2025-11-14 11:01:07.532044-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1630","2025-11-14 11:00:57.519385-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1629","2025-11-14 11:00:47.508664-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1628","2025-11-14 11:00:37.500123-03","23.170",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1627","2025-11-14 11:00:27.48519-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1626","2025-11-14 11:00:17.479189-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1625","2025-11-14 11:00:07.469009-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1624","2025-11-14 10:59:57.458342-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1623","2025-11-14 10:59:47.447508-03","23.280",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1622","2025-11-14 10:59:37.436155-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1621","2025-11-14 10:59:27.426149-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1620","2025-11-14 10:59:17.415436-03","23.190",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1619","2025-11-14 10:59:07.405003-03","23.180",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1618","2025-11-14 10:58:57.394769-03","23.400",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1617","2025-11-14 10:58:47.383031-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
